fc;P_eddy;P_mag;P_tot;flux_r;flux_i;NI
100000;187.163;629.874;817.037;2.6853e-07;-9.38187e-08;0.0260561
123860;293.037;967.763;1260.8;2.6032e-07;-1.14647e-07;0.0265763
153413;463.215;1488.38;1951.59;2.48201e-07;-1.3895e-07;0.027411
190017;740.338;2292.75;3033.09;2.30848e-07;-1.66192e-07;0.0287615
235355;1196.62;3540.64;4737.26;2.07283e-07;-1.94793e-07;0.0309458
291510;1951.93;5486.26;7438.18;1.77843e-07;-2.21996e-07;0.0344242
361064;3198.91;8532.93;11731.8;1.45026e-07;-2.447e-07;0.0397702
447214;5238.86;13310.3;18549.2;1.12883e-07;-2.6109e-07;0.0475813
553918;8538.11;20782.1;29320.2;8.49497e-08;-2.71467e-07;0.0584016
686083;13817.1;32408.2;46225.3;6.2789e-08;-2.77431e-07;0.0727391
849781;22179.9;50404.7;72584.6;4.62204e-08;-2.80668e-07;0.0911519
1.05254e+06;35304.1;78154.3;113458;3.42352e-08;-2.8238e-07;0.114336
1.30367e+06;55732.4;120839;176572;2.56758e-08;-2.83287e-07;0.143201
1.61473e+06;87336.9;186411;273748;1.95459e-08;-2.83776e-07;0.178935
2e+06;136040;287069;423109;1.50962e-08;-2.84047e-07;0.223075
