fc;P_eddy;P_mag;P_tot;flux_r;flux_i
99950;2702.93;47364.6;50067.6;2.30262e-06;-1.32051e-07
125860;3409.01;74492.1;77901.1;2.29093e-06;-1.66472e-07
158500;5405.91;119895;125301;2.30413e-06;-2.12923e-07
199500;9578.55;185647;195226;2.27175e-06;-2.68289e-07
251170;19068.7;292859;311927;2.25589e-06;-3.43415e-07
316230;41467.8;474442;515909;2.26219e-06;-4.49429e-07
398100;91174.1;750148;841322;2.22645e-06;-5.87378e-07
