fc;P_eddy;P_mag;P_tot;flux_r;flux_i
63030;935.142;40307;41242.2;2.32567e-06;-2.04999e-07
79460;1129.79;63337.2;64467;2.30723e-06;-2.56887e-07
99950;1614.84;98916.1;100531;2.28397e-06;-3.20849e-07
125860;2649.18;155570;158219;2.26152e-06;-4.01989e-07
158500;4886.56;250391;255278;2.25723e-06;-5.09142e-07
199500;9307.08;387719;397026;2.1986e-06;-6.31676e-07
251170;19105.4;611654;630759;2.14114e-06;-7.88984e-07
316230;41985.9;990973;1.03296e+06;2.08146e-06;-9.93477e-07
398100;92231.7;1.56694e+06;1.65917e+06;1.95099e-06;-1.223e-06
