fc;P_eddy;P_mag;P_tot;flux_r;flux_i
50020;150.609;4173.87;4324.48;9.44396e-07;-6.59816e-08
63020;148.285;6389.92;6538.2;9.26136e-07;-8.16225e-08
79460;180.473;10117.5;10298;9.22142e-07;-1.02671e-07
99950;261.341;16008.3;16269.6;9.18818e-07;-1.29074e-07
251170;3133.12;100306;103439;8.67075e-07;-3.19506e-07
316230;6739.74;159075;165814;8.33946e-07;-3.98041e-07
398100;14853.9;252356;267210;7.82952e-07;-4.90803e-07
