fc;P_eddy;P_mag;P_tot;flux_r;flux_i
63020;373.791;5144.13;5517.92;1.4779e-06;-4.2513e-08
79470;451.154;8076.18;8527.33;1.46811e-06;-5.34439e-08
99950;641.984;12546.6;13188.6;1.45434e-06;-6.69555e-08
125860;1062.81;19895;20957.8;1.4534e-06;-8.49978e-08
158500;1943.74;31716.9;33660.7;1.4556e-06;-1.08684e-07
199500;3773.66;49993.4;53767.1;1.44922e-06;-1.39136e-07
251170;7884.81;80085.6;87970.4;1.45214e-06;-1.81407e-07
316230;16606.4;123769;140375;1.42521e-06;-2.35672e-07
398100;37048;196937;233985;1.41141e-06;-3.16426e-07
