fc;P_eddy;P_mag;P_tot;flux_r;flux_i
112170;41.5788;679.579;721.158;4.01432e-07;-1.16022e-08
125850;46.5499;855.451;902.001;4.01387e-07;-1.30738e-08
141260;54.8664;1062.55;1117.41;3.98482e-07;-1.46505e-08
158500;69.6407;1337.75;1407.39;3.98408e-07;-1.6551e-08
177820;93.0447;1683.78;1776.82;3.98312e-07;-1.87273e-08
199510;127.747;2089.49;2217.24;3.95342e-07;-2.10845e-08
223850;183.664;2630.55;2814.21;3.95177e-07;-2.3972e-08
251170;270.363;3312.08;3582.45;3.94958e-07;-2.73432e-08
281850;399.147;4111.34;4510.49;3.91824e-07;-3.10879e-08
316230;613.606;5251.81;5865.42;3.94261e-07;-3.60214e-08
354820;937.786;6613.81;7551.59;3.93704e-07;-4.16714e-08
398100;1461.82;8449.95;9911.77;3.95746e-07;-4.88694e-08
446690;2222.23;10495;12717.2;3.9179e-07;-5.69239e-08
