fc;P_eddy;P_mag;P_tot;flux_r;flux_i
70840;91.919;534.482;626.401;5.63857e-07;-1.01853e-08
79460;82.6245;665.695;748.319;5.60985e-07;-1.13869e-08
89080;78.7983;845.156;923.955;5.63802e-07;-1.28583e-08
99950;77.2865;1053.28;1130.57;5.60916e-07;-1.43941e-08
112160;81.1594;1326.35;1407.51;5.60866e-07;-1.62086e-08
125860;91.8025;1687.16;1778.96;5.6365e-07;-1.83605e-08
141260;108.638;2103.9;2212.54;5.60722e-07;-2.06153e-08
158500;137.892;2648.81;2786.7;5.60617e-07;-2.32897e-08
177820;184.233;3333.97;3518.2;5.60481e-07;-2.6352e-08
199500;256.56;4196.62;4453.18;5.60304e-07;-2.98808e-08
223860;368.969;5284.31;5653.28;5.60071e-07;-3.39764e-08
251170;543.063;6652.8;7195.86;5.59761e-07;-3.87525e-08
281860;813.508;8378.94;9192.44;5.59343e-07;-4.4381e-08
316230;1232.52;10549;11781.5;5.58773e-07;-5.10519e-08
354820;1864.6;13150.3;15014.9;5.55151e-07;-5.87597e-08
398100;2836;16393.3;19229.3;5.51217e-07;-6.8068e-08
446680;4373.13;20653.9;25027;5.49633e-07;-7.98547e-08
