Frequency,Flux_Density,Power_Loss
112170,0.0141,1215.53
125850,0.0141,1368.76
141260,0.014,1502.07
158500,0.014,1730.38
177820,0.014,2030.69
199510,0.0139,2383.76
223850,0.0139,2819.77
251170,0.0139,3395.93
281850,0.0138,4160.46
316230,0.0139,5129.9
354820,0.0139,6585.65
398100,0.014,8377.23
446690,0.0139,10633.6104
