,B [mT],H [A/m]
0,0.0,0.8501938581466675
1,0.7360151149112701,0.9667559862136841
2,1.470257104943409,1.0915508270263672
3,2.2009571168304265,1.1825460195541382
4,2.926354830241924,1.2863527536392212
5,3.644702698548959,1.3852559328079224
6,4.354270158816935,1.492691159248352
7,5.0533478008833015,1.5963172912597656
8,5.740251485476347,1.693459391593933
9,6.413326401454231,1.7816801071166992
10,7.0709510523899635,1.867253303527832
11,7.711541162898323,1.9511390924453735
12,8.333553495294032,2.026642084121704
13,8.9354895673865,2.09838604927063
14,9.515899262454681,2.158662796020508
15,10.073384322705275,2.2154619693756104
16,10.606601717798213,2.264477491378784
17,11.114266880324388,2.31345534324646
18,11.595156800441057,2.3613195419311523
19,12.048112972209674,2.397860288619995
20,12.472044184538177,2.425532341003418
21,12.86592915000408,2.4522719383239746
22,13.22881896522532,2.4749138355255127
23,13.559839396851647,2.4940032958984375
24,13.858192987669298,2.5078516006469727
25,14.12316097774531,2.515322685241699
26,14.354105035983135,2.508207082748413
27,14.55046879791816,2.4923899173736572
28,14.711779206048456,2.4759604930877686
29,14.837647649471712,2.4494473934173584
30,14.927770900082951,2.4211344718933105
31,14.981931843077588,2.3916513919830322
32,15.0,2.351475238800049
33,14.981931843077588,2.3031980991363525
34,14.927770900082951,2.2494306564331055
35,14.837647649471712,2.1934964656829834
36,14.711779206048456,2.1280808448791504
37,14.550468797918162,2.0586118698120117
38,14.354105035983135,1.988852620124817
39,14.123160977745313,1.9104050397872925
40,13.8581929876693,1.8253980875015259
41,13.559839396851649,1.734692096710205
42,13.228818965225322,1.6436811685562134
43,12.865929150004082,1.5556012392044067
44,12.47204418453818,1.4627348184585571
45,12.048112972209676,1.3611252307891846
46,11.595156800441059,1.2603013515472412
47,11.114266880324386,1.1542092561721802
48,10.606601717798215,1.0456395149230957
49,10.073384322705278,0.9351410269737244
50,9.515899262454681,0.8205587863922119
51,8.935489567386501,0.7047812938690186
52,8.33355349529403,0.5919434428215027
53,7.711541162898325,0.47845375537872314
54,7.070951052389967,0.3600926995277405
55,6.41332640145423,0.24190844595432281
56,5.740251485476349,0.12113480269908905
57,5.053347800883305,-0.0029160974081605673
58,4.354270158816935,-0.1259084790945053
59,3.644702698548961,-0.24890606105327606
60,2.926354830241929,-0.3724568784236908
61,2.200957116830427,-0.4953533411026001
62,1.4702571049434126,-0.6143277883529663
63,0.7360151149112696,-0.7312160134315491
64,1.8369701987210296e-15,-0.8475080132484436
65,-0.7360151149112658,-0.9625909328460693
66,-1.4702571049434088,-1.07475745677948
67,-2.200957116830424,-1.1846388578414917
68,-2.9263548302419253,-1.2907682657241821
69,-3.644702698548958,-1.3945937156677246
70,-4.354270158816933,-1.4986929893493652
71,-5.0533478008833015,-1.6007987260818481
72,-5.740251485476345,-1.694531798362732
73,-6.413326401454227,-1.7822688817977905
74,-7.0709510523899635,-1.8655478954315186
75,-7.711541162898323,-1.9407315254211426
76,-8.333553495294026,-2.0116262435913086
77,-8.9354895673865,-2.0798275470733643
78,-9.51589926245468,-2.1433093547821045
79,-10.073384322705277,-2.2020599842071533
80,-10.606601717798211,-2.2489876747131348
81,-11.114266880324385,-2.2895586490631104
82,-11.595156800441051,-2.329909324645996
83,-12.048112972209678,-2.3692595958709717
84,-12.472044184538179,-2.4061150550842285
85,-12.865929150004078,-2.43540620803833
86,-13.228818965225319,-2.454155921936035
87,-13.559839396851643,-2.465413808822632
88,-13.858192987669295,-2.4733059406280518
89,-14.12316097774531,-2.4790096282958984
90,-14.354105035983133,-2.4772684574127197
91,-14.55046879791816,-2.4656331539154053
92,-14.711779206048455,-2.443620443344116
93,-14.83764764947171,-2.4115726947784424
94,-14.927770900082951,-2.3763396739959717
95,-14.981931843077588,-2.3429930210113525
96,-15.0,-2.3063926696777344
97,-14.98193184307759,-2.262887954711914
98,-14.927770900082953,-2.2147252559661865
99,-14.837647649471712,-2.160374641418457
100,-14.711779206048456,-2.099372148513794
101,-14.550468797918162,-2.035149335861206
102,-14.354105035983135,-1.9646233320236206
103,-14.123160977745313,-1.886054515838623
104,-13.858192987669298,-1.802822470664978
105,-13.559839396851647,-1.715815782546997
106,-13.228818965225322,-1.6244276762008667
107,-12.865929150004082,-1.530368685722351
108,-12.47204418453818,-1.4327847957611084
109,-12.048112972209681,-1.3303165435791016
110,-11.595156800441055,-1.2287378311157227
111,-11.114266880324388,-1.1241768598556519
112,-10.606601717798215,-1.0162553787231445
113,-10.07338432270528,-0.9082366228103638
114,-9.515899262454688,-0.7987744212150574
115,-8.935489567386497,-0.6853722929954529
116,-8.333553495294032,-0.5711444616317749
117,-7.711541162898326,-0.44783806800842285
118,-7.070951052389968,-0.32391196489334106
119,-6.4133264014542375,-0.20354364812374115
120,-5.740251485476355,-0.08850692212581635
121,-5.053347800883301,0.024629423394799232
122,-4.354270158816937,0.14138218760490417
123,-3.6447026985489632,0.2628697156906128
124,-2.926354830241931,0.3863913416862488
125,-2.200957116830436,0.5045019388198853
126,-1.4702571049434077,0.6386041045188904
127,-0.7360151149112714,0.7966354489326477
