,B [mT],H [A/m]
0,0.0,0.34731101989746094
1,0.7360151149112701,0.4347418248653412
2,1.470257104943409,0.5651481747627258
3,2.2009571168304265,0.6700185537338257
4,2.926354830241924,0.7777594327926636
5,3.644702698548959,0.884908139705658
6,4.354270158816935,1.0036574602127075
7,5.0533478008833015,1.1162292957305908
8,5.740251485476347,1.219938039779663
9,6.413326401454231,1.3216969966888428
10,7.0709510523899635,1.4215288162231445
11,7.711541162898323,1.5185573101043701
12,8.333553495294032,1.6069239377975464
13,8.9354895673865,1.699129581451416
14,9.515899262454681,1.779879093170166
15,10.073384322705275,1.859175443649292
16,10.606601717798213,1.933580994606018
17,11.114266880324388,2.0065934658050537
18,11.595156800441057,2.077268600463867
19,12.048112972209674,2.1406073570251465
20,12.472044184538177,2.1917872428894043
21,12.86592915000408,2.245258092880249
22,13.22881896522532,2.291930675506592
23,13.559839396851647,2.3335087299346924
24,13.858192987669298,2.370335340499878
25,14.12316097774531,2.402165651321411
26,14.354105035983135,2.4222137928009033
27,14.55046879791816,2.433994770050049
28,14.711779206048456,2.4460761547088623
29,14.837647649471712,2.45038104057312
30,14.927770900082951,2.447087049484253
31,14.981931843077588,2.4398977756500244
32,15.0,2.42612361907959
33,14.981931843077588,2.402834892272949
34,14.927770900082951,2.3800454139709473
35,14.837647649471712,2.3514974117279053
36,14.711779206048456,2.3143208026885986
37,14.550468797918162,2.27134370803833
38,14.354105035983135,2.2252960205078125
39,14.123160977745313,2.171689033508301
40,13.8581929876693,2.11128830909729
41,13.559839396851649,2.045835256576538
42,13.228818965225322,1.978617787361145
43,12.865929150004082,1.9096816778182983
44,12.47204418453818,1.8350178003311157
45,12.048112972209676,1.7484819889068604
46,11.595156800441059,1.664188027381897
47,11.114266880324386,1.5792677402496338
48,10.606601717798215,1.488568663597107
49,10.073384322705278,1.393100380897522
50,9.515899262454681,1.2931970357894897
51,8.935489567386501,1.1904233694076538
52,8.33355349529403,1.0853395462036133
53,7.711541162898325,0.9773585200309753
54,7.070951052389967,0.8677048087120056
55,6.41332640145423,0.7594404816627502
56,5.740251485476349,0.6500681638717651
57,5.053347800883305,0.5385609269142151
58,4.354270158816935,0.4262837767601013
59,3.644702698548961,0.3105357885360718
60,2.926354830241929,0.18947209417819977
61,2.200957116830427,0.06555205583572388
62,1.4702571049434126,-0.056951794773340225
63,0.7360151149112696,-0.1768278330564499
64,1.8369701987210296e-15,-0.29528769850730896
65,-0.7360151149112658,-0.4130455553531647
66,-1.4702571049434088,-0.5290561318397522
67,-2.200957116830424,-0.6430751085281372
68,-2.9263548302419253,-0.7555573582649231
69,-3.644702698548958,-0.867576539516449
70,-4.354270158816933,-0.9804592728614807
71,-5.0533478008833015,-1.0929230451583862
72,-5.740251485476345,-1.2005466222763062
73,-6.413326401454227,-1.3033483028411865
74,-7.0709510523899635,-1.4019525051116943
75,-7.711541162898323,-1.4965558052062988
76,-8.333553495294026,-1.5874464511871338
77,-8.9354895673865,-1.6736092567443848
78,-9.51589926245468,-1.7573996782302856
79,-10.073384322705277,-1.839647650718689
80,-10.606601717798211,-1.9119856357574463
81,-11.114266880324385,-1.9792193174362183
82,-11.595156800441051,-2.0451693534851074
83,-12.048112972209678,-2.1082136631011963
84,-12.472044184538179,-2.1674625873565674
85,-12.865929150004078,-2.21885085105896
86,-13.228818965225319,-2.261777400970459
87,-13.559839396851643,-2.3009207248687744
88,-13.858192987669295,-2.3389644622802734
89,-14.12316097774531,-2.3731188774108887
90,-14.354105035983133,-2.399949073791504
91,-14.55046879791816,-2.4204463958740234
92,-14.711779206048455,-2.431413173675537
93,-14.83764764947171,-2.430280923843384
94,-14.927770900082951,-2.4246363639831543
95,-14.981931843077588,-2.419065475463867
96,-15.0,-2.409451961517334
97,-14.98193184307759,-2.393887758255005
98,-14.927770900082953,-2.3712995052337646
99,-14.837647649471712,-2.3412208557128906
100,-14.711779206048456,-2.3040685653686523
101,-14.550468797918162,-2.2631442546844482
102,-14.354105035983135,-2.21635103225708
103,-14.123160977745313,-2.1628572940826416
104,-13.858192987669298,-2.106088399887085
105,-13.559839396851647,-2.0456557273864746
106,-13.228818965225322,-1.9788564443588257
107,-12.865929150004082,-1.9062438011169434
108,-12.47204418453818,-1.8293640613555908
109,-12.048112972209681,-1.7469398975372314
110,-11.595156800441055,-1.6619585752487183
111,-11.114266880324388,-1.571938395500183
112,-10.606601717798215,-1.4793568849563599
113,-10.07338432270528,-1.3856583833694458
114,-9.515899262454688,-1.2890053987503052
115,-8.935489567386497,-1.1875249147415161
116,-8.333553495294032,-1.083998680114746
117,-7.711541162898326,-0.9718084931373596
118,-7.070951052389968,-0.8575965762138367
119,-6.4133264014542375,-0.7446491718292236
120,-5.740251485476355,-0.6347678303718567
121,-5.053347800883301,-0.5257739424705505
122,-4.354270158816937,-0.4144175052642822
123,-3.6447026985489632,-0.29540008306503296
124,-2.926354830241931,-0.17128042876720428
125,-2.200957116830436,-0.05729876086115837
126,-1.4702571049434077,0.06276968866586685
127,-0.7360151149112714,0.23550502955913544
