,B [mT],H [A/m]
0,0.0,0.26362863183021545
1,0.7360151149112701,0.34397539496421814
2,1.470257104943409,0.46652692556381226
3,2.2009571168304265,0.5736631751060486
4,2.926354830241924,0.6839578747749329
5,3.644702698548959,0.7909918427467346
6,4.354270158816935,0.9096501469612122
7,5.0533478008833015,1.0236711502075195
8,5.740251485476347,1.1305468082427979
9,6.413326401454231,1.236511468887329
10,7.0709510523899635,1.3403165340423584
11,7.711541162898323,1.441017508506775
12,8.333553495294032,1.5327829122543335
13,8.9354895673865,1.6290173530578613
14,9.515899262454681,1.7150394916534424
15,10.073384322705275,1.7994602918624878
16,10.606601717798213,1.8791769742965698
17,11.114266880324388,1.957039475440979
18,11.595156800441057,2.0323524475097656
19,12.048112972209674,2.101405382156372
20,12.472044184538177,2.1598622798919678
21,12.86592915000408,2.22084379196167
22,13.22881896522532,2.2742035388946533
23,13.559839396851647,2.321259021759033
24,13.858192987669298,2.363197088241577
25,14.12316097774531,2.4001197814941406
26,14.354105035983135,2.425812244415283
27,14.55046879791816,2.4438087940216064
28,14.711779206048456,2.4612715244293213
29,14.837647649471712,2.471259593963623
30,14.927770900082951,2.4735052585601807
31,14.981931843077588,2.471229076385498
32,15.0,2.4620699882507324
33,14.981931843077588,2.444620370864868
34,14.927770900082951,2.42801570892334
35,14.837647649471712,2.4050705432891846
36,14.711779206048456,2.3733537197113037
37,14.550468797918162,2.335820198059082
38,14.354105035983135,2.295133113861084
39,14.123160977745313,2.2470459938049316
40,13.8581929876693,2.1925406455993652
41,13.559839396851649,2.1324849128723145
42,13.228818965225322,2.0693681240081787
43,12.865929150004082,2.003114700317383
44,12.47204418453818,1.9308266639709473
45,12.048112972209676,1.8468949794769287
46,11.595156800441059,1.765740156173706
47,11.114266880324386,1.684762716293335
48,10.606601717798215,1.59816312789917
49,10.073384322705278,1.5060839653015137
50,9.515899262454681,1.4087846279144287
51,8.935489567386501,1.3075482845306396
52,8.33355349529403,1.2030037641525269
53,7.711541162898325,1.0958585739135742
54,7.070951052389967,0.9878310561180115
55,6.41332640145423,0.8811885714530945
56,5.740251485476349,0.7733826637268066
57,5.053347800883305,0.662803053855896
58,4.354270158816935,0.5515122413635254
59,3.644702698548961,0.4380985200405121
60,2.926354830241929,0.31940004229545593
61,2.200957116830427,0.19576485455036163
62,1.4702571049434126,0.0714288130402565
63,0.7360151149112696,-0.05107966065406799
64,1.8369701987210296e-15,-0.17215405404567719
65,-0.7360151149112658,-0.2906745970249176
66,-1.4702571049434088,-0.4067845642566681
67,-2.200957116830424,-0.5209794044494629
68,-2.9263548302419253,-0.6340499520301819
69,-3.644702698548958,-0.7476513981819153
70,-4.354270158816933,-0.8624012470245361
71,-5.0533478008833015,-0.9774945974349976
72,-5.740251485476345,-1.0883853435516357
73,-6.413326401454227,-1.19380521774292
74,-7.0709510523899635,-1.295093297958374
75,-7.711541162898323,-1.3932448625564575
76,-8.333553495294026,-1.4880515336990356
77,-8.9354895673865,-1.577914834022522
78,-9.51589926245468,-1.6645511388778687
79,-10.073384322705277,-1.7496451139450073
80,-10.606601717798211,-1.826916217803955
81,-11.114266880324385,-1.8998076915740967
82,-11.595156800441051,-1.971666693687439
83,-12.048112972209678,-2.0401341915130615
84,-12.472044184538179,-2.103532075881958
85,-12.865929150004078,-2.158393383026123
86,-13.228818965225319,-2.2050564289093018
87,-13.559839396851643,-2.2492623329162598
88,-13.858192987669295,-2.2936203479766846
89,-14.12316097774531,-2.3336143493652344
90,-14.354105035983133,-2.366797924041748
91,-14.55046879791816,-2.3966026306152344
92,-14.711779206048455,-2.4216368198394775
93,-14.83764764947171,-2.4302375316619873
94,-14.927770900082951,-2.430720329284668
95,-14.981931843077588,-2.429870367050171
96,-15.0,-2.425572156906128
97,-14.98193184307759,-2.418525457382202
98,-14.927770900082953,-2.4033401012420654
99,-14.837647649471712,-2.3787524700164795
100,-14.711779206048456,-2.3447794914245605
101,-14.550468797918162,-2.30576491355896
102,-14.354105035983135,-2.2605602741241455
103,-14.123160977745313,-2.212930202484131
104,-13.858192987669298,-2.1657867431640625
105,-13.559839396851647,-2.110393762588501
106,-13.228818965225322,-2.0427565574645996
107,-12.865929150004082,-1.9734742641448975
108,-12.47204418453818,-1.899617314338684
109,-12.048112972209681,-1.8198074102401733
110,-11.595156800441055,-1.7371594905853271
111,-11.114266880324388,-1.6501225233078003
112,-10.606601717798215,-1.5597740411758423
113,-10.07338432270528,-1.4668018817901611
114,-9.515899262454688,-1.3696153163909912
115,-8.935489567386497,-1.26786470413208
116,-8.333553495294032,-1.164328694343567
117,-7.711541162898326,-1.0559091567993164
118,-7.070951052389968,-0.9478045701980591
119,-6.4133264014542375,-0.8335103392601013
120,-5.740251485476355,-0.7231511473655701
121,-5.053347800883301,-0.6171659231185913
122,-4.354270158816937,-0.5121391415596008
123,-3.6447026985489632,-0.3952592611312866
124,-2.926354830241931,-0.267705500125885
125,-2.200957116830436,-0.1517980396747589
126,-1.4702571049434077,-0.03268872946500778
127,-0.7360151149112714,0.19210106134414673
