,B [mT],H [A/m]
0,0.0,0.5785374045372009
1,0.7360151149112701,0.6817893981933594
2,1.470257104943409,0.8172228932380676
3,2.2009571168304265,0.9152100086212158
4,2.926354830241924,1.0203250646591187
5,3.644702698548959,1.1221803426742554
6,4.354270158816935,1.2340694665908813
7,5.0533478008833015,1.3429752588272095
8,5.740251485476347,1.4460110664367676
9,6.413326401454231,1.5413646697998047
10,7.0709510523899635,1.633238673210144
11,7.711541162898323,1.7227380275726318
12,8.333553495294032,1.8041855096817017
13,8.9354895673865,1.8844712972640991
14,9.515899262454681,1.9549912214279175
15,10.073384322705275,2.022723436355591
16,10.606601717798213,2.0835251808166504
17,11.114266880324388,2.1436431407928467
18,11.595156800441057,2.202066659927368
19,12.048112972209674,2.2508015632629395
20,12.472044184538177,2.290524482727051
21,12.86592915000408,2.330643892288208
22,13.22881896522532,2.365001678466797
23,13.559839396851647,2.395808458328247
24,13.858192987669298,2.4218759536743164
25,14.12316097774531,2.4422733783721924
26,14.354105035983135,2.4492387771606445
27,14.55046879791816,2.4472897052764893
28,14.711779206048456,2.4461159706115723
29,14.837647649471712,2.4371166229248047
30,14.927770900082951,2.4222018718719482
31,14.981931843077588,2.4036552906036377
32,15.0,2.376147985458374
33,14.981931843077588,2.342881679534912
34,14.927770900082951,2.30688214302063
35,14.837647649471712,2.264413595199585
36,14.711779206048456,2.213038682937622
37,14.550468797918162,2.1563217639923096
38,14.354105035983135,2.097846269607544
39,14.123160977745313,2.032423496246338
40,13.8581929876693,1.9599134922027588
41,13.559839396851649,1.8822554349899292
42,13.228818965225322,1.8046537637710571
43,12.865929150004082,1.7275363206863403
44,12.47204418453818,1.6454472541809082
45,12.048112972209676,1.5517237186431885
46,11.595156800441059,1.4586986303329468
47,11.114266880324386,1.3638945817947388
48,10.606601717798215,1.265313982963562
49,10.073384322705278,1.1630676984786987
50,9.515899262454681,1.0560940504074097
51,8.935489567386501,0.9478505253791809
52,8.33355349529403,0.8399131894111633
53,7.711541162898325,0.7292442917823792
54,7.070951052389967,0.6161700487136841
55,6.41332640145423,0.5040940046310425
56,5.740251485476349,0.38997599482536316
57,5.053347800883305,0.2732003927230835
58,4.354270158816935,0.1559368520975113
59,3.644702698548961,0.03607381507754326
60,2.926354830241929,-0.08679116517305374
61,2.200957116830427,-0.2101767361164093
62,1.4702571049434126,-0.330533504486084
63,0.7360151149112696,-0.4482266306877136
64,1.8369701987210296e-15,-0.565431535243988
65,-0.7360151149112658,-0.6819162368774414
66,-1.4702571049434088,-0.7953062057495117
67,-2.200957116830424,-0.9067251086235046
68,-2.9263548302419253,-1.016018271446228
69,-3.644702698548958,-1.1234904527664185
70,-4.354270158816933,-1.2315964698791504
71,-5.0533478008833015,-1.338551640510559
72,-5.740251485476345,-1.438132882118225
73,-6.413326401454227,-1.533308506011963
74,-7.0709510523899635,-1.6251299381256104
75,-7.711541162898323,-1.7101123332977295
76,-8.333553495294026,-1.7906917333602905
77,-8.9354895673865,-1.8679252862930298
78,-9.51589926245468,-1.9412038326263428
79,-10.073384322705277,-2.011035442352295
80,-10.606601717798211,-2.0705366134643555
81,-11.114266880324385,-2.124574661254883
82,-11.595156800441051,-2.177410364151001
83,-12.048112972209678,-2.227992534637451
84,-12.472044184538179,-2.275555372238159
85,-12.865929150004078,-2.3158226013183594
86,-13.228818965225319,-2.3472366333007812
87,-13.559839396851643,-2.373267889022827
88,-13.858192987669295,-2.3965821266174316
89,-14.12316097774531,-2.416533946990967
90,-14.354105035983133,-2.4288511276245117
91,-14.55046879791816,-2.432176113128662
92,-14.711779206048455,-2.4252126216888428
93,-14.83764764947171,-2.407625675201416
94,-14.927770900082951,-2.3865678310394287
95,-14.981931843077588,-2.366913080215454
96,-15.0,-2.343859910964966
97,-14.98193184307759,-2.3141438961029053
98,-14.927770900082953,-2.2795257568359375
99,-14.837647649471712,-2.2386507987976074
100,-14.711779206048456,-2.189505100250244
101,-14.550468797918162,-2.137221574783325
102,-14.354105035983135,-2.078829765319824
103,-14.123160977745313,-2.0131289958953857
104,-13.858192987669298,-1.944865107536316
105,-13.559839396851647,-1.8708561658859253
106,-13.228818965225322,-1.7902106046676636
107,-12.865929150004082,-1.7076486349105835
108,-12.47204418453818,-1.622149109840393
109,-12.048112972209681,-1.5311760902404785
110,-11.595156800441055,-1.4385344982147217
111,-11.114266880324388,-1.3419485092163086
112,-10.606601717798215,-1.2428042888641357
113,-10.07338432270528,-1.1425429582595825
114,-9.515899262454688,-1.04185950756073
115,-8.935489567386497,-0.9360233545303345
116,-8.333553495294032,-0.8276171088218689
117,-7.711541162898326,-0.7099549174308777
118,-7.070951052389968,-0.5926910042762756
119,-6.4133264014542375,-0.4751383066177368
120,-5.740251485476355,-0.3618653118610382
121,-5.053347800883301,-0.25139087438583374
122,-4.354270158816937,-0.138911172747612
123,-3.6447026985489632,-0.019797828048467636
124,-2.926354830241931,0.10360363125801086
125,-2.200957116830436,0.2189590036869049
126,-1.4702571049434077,0.33992910385131836
127,-0.7360151149112714,0.45878908038139343
