Frequency,Flux_Density,Power_Loss
63030.0,0.1238,98808.25
79460.0,0.1231,133984.125
99950.0,0.1223,184074.406
125860.0,0.1218,260261.938
158500.0,0.1227,388831.125
199500.0,0.1213,553077.312
251170.0,0.121,819892.062
316230.0,0.1223,1277302.25
398100.0,0.1221,1889530.75
