Frequency,Flux_Density,Power_Loss
63020.0,0.0784,27010.8691
79470.0,0.0779,37689.5703
99950.0,0.0772,53722.8086
125860.0,0.0772,78938.2578
158500.0,0.0774,119327.031
199500.0,0.0772,181444.562
251170.0,0.0776,287716.625
316230.0,0.0766,430063.5
398100.0,0.0767,661113.375
