Frequency,Flux_Density,Power_Loss
125840.0,0.0153,1494.14
158500.0,0.0154,2567.45
199500.0,0.0155,4354.85
251170.0,0.0155,7492.99
316230.0,0.0155,12336.2197
398100.0,0.0156,20087.2402
