Frequency,Flux_Density,Power_Loss
50020.0,0.0502,4678.89
63020.0,0.0493,7361.98
79460.0,0.0492,10805.9805
99950.0,0.0492,15892.1699
251170.0,0.049,93746.7266
316230.0,0.049,148832.984
398100.0,0.049,237634.422
